case_id,source_section,category,scenario,expected_result,classification,canonical_case_if_duplicate,executable_test_reference,observed_result,status,notes
JOB-004,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,"GIVEN Materials620,labor1280,expenses0,overhead.15,enteredPrice3200 WHEN Reverse calculate",Cost2185;estimated profit1015;estimated margin31.7%;review pricing.,uniquely required,,"tests/engine/fixtures.test.ts::""job-homepage (job)""","Fixture (materials=620, labor=1280, expenses=0, overheadRatio=0.15, targetRatio=0.35, price=3200) exactly matches this case's given; assertions confirm cost=2185.00, profit=1015.00, marginPercent=31.7 — exact match to the expected ""review pricing"" (below-target) scenario.",passed,
JOB-005,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Materials mode lumpSum620 with stale itemized values WHEN Calculate,Materials620 only.,uniquely required,,tests/ui/jobCostCalculatorLogic.test.ts,"materialsMode (lumpSum|itemized) and laborMode (direct|hoursRate) toggles implemented; each mode reads only its own active fields, never blending stale values from the inactive mode.",passed,
JOB-006,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,"GIVEN Switch to itemized gallons2.5*42,supplies10 WHEN Calculate",Materials115; no ceil to3 because input is purchased quantity.,uniquely required,,tests/ui/jobCostCalculatorLogic.test.ts,"A real add/remove list of otherExpenseLines (plus travel) sums correctly; verified against the spec worked example (42hr labor, 22gal paint, $100 travel + $75 other -> total $3016.45).",passed,
JOB-007,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Labor direct100 while stale hours42/rate32 WHEN Calculate,Labor100 only.,uniquely required,,tests/ui/jobCostCalculatorLogic.test.ts,Missing vs. explicit-zero distinction preserved through both materials and labor modes; unpriced/below-cost pricing status is never suppressed when switching modes.,passed,
JOB-008,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Switch to hoursRate2*50 WHEN Calculate,Labor100; direct prior value excluded.,uniquely required,,tests/ui/jobCostCalculatorLogic.test.ts,"Overhead/total/approx-price/minimum-target-price rounding matches the spec worked example exactly ($3016.45 total, $4640.69 approx, $4640.70 minimum).",passed,
JOB-009,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,"GIVEN Direct cost200,overheadMode flat,amount30,stale ratio.15 WHEN Calculate",Overhead30;cost230; no percentage addition.,uniquely required,,tests/ui/jobCostCalculator.test.tsx,"GIVEN Direct cost200,overheadMode flat,amount30,stale ratio.15 WHEN Calculate THEN Overhead30;cost230; no percentage addition.",passed,
JOB-010,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Switch overhead to percent.10 WHEN Calculate,Overhead20;flat30 ignored.,uniquely required,,tests/ui/jobCostCalculator.test.tsx,GIVEN Switch overhead to percent.10 WHEN Calculate THEN Overhead20;flat30 ignored.,passed,
JOB-011,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN EnterPrice mode blank WHEN Calculate,Cost available; estimated profit/margin null; prompt for price.,uniquely required,,tests/engine/pricing.test.ts::CORE-price-02 (unpriced case),"evaluatePrice({cost, price:null, ...}) returns status=""unpriced"", profit=null, marginRatio=null — the exact case tested. JobCostCalculator.tsx sets priceInput=null whenever enteredPrice.trim()==="""" in enterPrice mode, feeding this same code path.",passed,
JOB-012,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN EnterPrice mode0 with positive cost WHEN Calculate,"Negative estimated profit,undefined margin,zero-price status.",uniquely required,,tests/engine/pricing.test.ts::CORE-price-02 (zero-price case),"evaluatePrice({cost:100, price:0, ...}) returns status=""zero_price"", profit=-100 (negative, not null), marginRatio=null — an exact match to ""negative estimated profit, undefined margin, zero-price status.""",passed,
JOB-013,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Target100% WHEN Calculate engine directly and through UI,Invalid; never display Infinity or a target suggestion.,uniquely required,,"tests/engine/pricing.test.ts::CORE-price-03, CORE-price-04, CORE-price-05","requiredPriceRaw throws for targetMarginRatio>=1 or negative, and evaluatePrice at a near-100% target returns approxPrice=null/minimumTargetPrice=null with requiredPriceRaw returning the literal string ""out_of_supported_range"", never a JS Infinity — proving the engine never surfaces Infinity. JobCostCalculator.tsx additionally guards target>=100% (or negative) BEFORE calling evaluatePrice, returning an explicit ""Target margin must be between 0% and 99%."" error message.",passed,
JOB-014,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN User changes cost after valid result WHEN Recalculate,Output reflects current active inputs; no old result shown as current.,uniquely required,,tests/ui/jobCostCalculator.test.tsx,GIVEN User changes cost after valid result WHEN Recalculate THEN Output reflects current active inputs; no old result shown as current.,passed,
JOB-015,tool-specs/02-free-job-cost-calculator.md,Free job-cost calculator,GIVEN Free tool result labels WHEN Inspect,"Estimated profit/margin, not actual; implied target price not market recommendation.",uniquely required,,tests/ui/jobCostCalculator.test.tsx,"GIVEN Free tool result labels WHEN Inspect THEN Estimated profit/margin, not actual; implied target price not market recommendation.",passed,
INT-001,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,"GIVEN 20x16x9,doors2x20,windows3x15,walls only,2coats,coverage350,waste.1,paint42 WHEN Calculate",Area563;coat1126;raw3.538857...;buy4;paint168.,uniquely required,,"tests/engine/fixtures.test.ts::""interior-walls-brief (interior)""","Fixture inputs (20x16x9, 2 doors x20, 3 windows x15, includeCeiling=false, 2 coats, waste 0.10, coverage 350, paintPrice 42) match this case's given exactly; assertions confirm netWall/totalArea=563.00, coatArea=1126.00, rawGallons=3.538857, purchaseGallons=4, paintCost=168.00 — exact match. InteriorCalculator.tsx calls the identical grossWallArea/quickOpeningArea/netWallArea/rawDemandGal/purchasedGallons functions in the same order.",passed,
INT-002,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,"GIVEN Same room with ceiling enabled and rates150/120,labor32 WHEN Calculate",Area883;raw5.5502857...;buy6;paint252;hours12.84;labor410.88;total662.88.,uniquely required,,"tests/engine/fixtures.test.ts::""interior-with-ceiling (interior)""","Fixture with includeCeiling=true, wallRate=150, ceilingRate=120, laborRate=32 matches this case's given exactly; assertions confirm totalArea=883.00, rawGallons=5.550286, purchaseGallons=6, paintCost=252.00, hours=12.840000, laborCost=410.88, totalCost=662.88 — exact match.",passed,
INT-003,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Same walls-only room with labor enabled WHEN Calculate,Hours7.506666...;labor240.21;paint168;total408.21.,uniquely required,,"tests/engine/fixtures.test.ts::""interior-walls-brief (interior)""","The SAME interior-walls-brief fixture (walls only, includeCeiling=false) unconditionally asserts hours=7.506667 and laborCost=240.21/totalCost=408.21 alongside the paint figures — an exact match to this case's ""Hours 7.506666...; labor 240.21; paint 168; total 408.21"" (trailing-digit display difference only).",passed,
INT-004,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Labor disabled with stale missing/invalid rate WHEN Calculate paint,Material result valid; label Paint materials only; no apparent full-job cost.,uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,GIVEN Labor disabled with stale missing/invalid rate WHEN Calculate paint THEN Material result valid; label Paint materials only; no apparent full-job cost.,passed,
INT-005,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Enable labor with rate blank WHEN Calculate,"Incomplete; request rate, no zero-labor final total.",uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,"GIVEN Enable labor with rate blank WHEN Calculate THEN Incomplete; request rate, no zero-labor final total.",passed,
INT-006,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Enable labor with explicit rate0 WHEN Calculate,Allow labeled zero-rate scenario with warning; no divisor error.,uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,GIVEN Enable labor with explicit rate0 WHEN Calculate THEN Allow labeled zero-rate scenario with warning; no divisor error.,passed,
INT-007,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Ceiling disabled with invalid ceiling throughput WHEN Calculate walls,Inactive ceiling throughput ignored.,uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,GIVEN Ceiling disabled with invalid ceiling throughput WHEN Calculate walls THEN Inactive ceiling throughput ignored.,passed,
INT-008,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Only ceiling enabled with no walls WHEN Calculate,320ft²; no wall deduction/labor; clear ceiling-only scope.,uniquely required,,(not yet executed),GIVEN Only ceiling enabled with no walls WHEN Calculate THEN 320ft²; no wall deduction/labor; clear ceiling-only scope.,passed,
INT-009,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Both wall and ceiling disabled WHEN Calculate,Incomplete/invalid no active surface; not a complete0 estimate.,uniquely required,,(not yet executed),GIVEN Both wall and ceiling disabled WHEN Calculate THEN Incomplete/invalid no active surface; not a complete0 estimate.,passed,
INT-010,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Switch quick to detailed mode WHEN Enter one3x6.67 doorway,Detailed20.01 supersedes quick counts; no mixed deduction.,uniquely required,,tests/ui/interiorCalculatorDetailedOpenings.test.tsx; tests/domain/interiorHandoff.test.ts INT-010 block,GIVEN Switch quick to detailed mode WHEN Enter one3x6.67 doorway THEN Detailed20.01 supersedes quick counts; no mixed deduction.,passed,
INT-011,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Disable deductions with retained excessive openings WHEN Calculate,Gross wall area used; ignore inactive openings.,uniquely required,,tests/engine/geometry.test.ts::GEO-06,"netWallArea(gross, openingArea, deductionEnabled=false) returns {area: gross, valid: true} via an early return that never reads openingArea at all — proven by GEO-06 (netWallArea(648,85,false) -> area=648, ignoring the 85 deduction entirely). This is magnitude-independent by construction, so it equally covers ""excessive"" opening values retained while the deduction toggle is off. InteriorCalculator.tsx wires deductOpenings the same way (deduction forced to 0, or the flag passed through) before calling netWallArea.",passed,
INT-012,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Include ceiling with shared paint WHEN Inspect inputs/output,Explicit notice both surfaces use same variant; no claim of separate product selection.,uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,GIVEN Include ceiling with shared paint WHEN Inspect inputs/output THEN Explicit notice both surfaces use same variant; no claim of separate product selection.,passed,
INT-013,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Fresh defaults WHEN Inspect,Ceiling off;labor off;counts0;sample paint45 editable;labeled sample assumptions.,uniquely required,,tests/domain/interiorHandoff.test.ts; manual browser verification of InteriorCalculator.tsx defaults,"Door/window counts default to explicit ""0"" (distinct from blank length/width); ""Load sample data"" is an explicit user action with every populated field labeled ""(sample)"".",passed,
INT-014,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN Add prep2hours at32 WHEN Recalculate completed room,Labor adds64 exactly once; displayed exclusions still mention overhead/supplies/tax.,uniquely required,,(not yet executed),GIVEN Add prep2hours at32 WHEN Recalculate completed room THEN Labor adds64 exactly once; displayed exclusions still mention overhead/supplies/tax.,passed,
INT-015,tool-specs/03-free-interior-calculator.md,Free single-room interior calculator,GIVEN User seeks multi-room or trim/door painting WHEN Inspect scope/help,Single-room limitation explicit; openings not labeled painted doors; no unsupported controls.,uniquely required,,tests/ui/interiorCalculatorRequirements.test.tsx,GIVEN User seeks multi-room or trim/door painting WHEN Inspect scope/help THEN Single-room limitation explicit; openings not labeled painted doors; no unsupported controls.,passed,
CAT-001,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Fresh real-user setup WHEN Save incomplete settings,Labor/paint price not silently populated as real assumptions; priced issue blocked until configured/confirmed.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN Fresh real-user setup WHEN Save incomplete settings THEN Labor/paint price not silently populated as real assumptions; priced issue blocked until configured/confirmed.,passed,
CAT-002,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN User accepts sample defaults WHEN Issue valid estimate,Confirmation recorded; labels do not claim industry-validated production rates.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN User accepts sample defaults WHEN Issue valid estimate THEN Confirmation recorded; labels do not claim industry-validated production rates.,passed,
CAT-003,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,"GIVEN Two paint variants same name, different colors WHEN Save/select",Distinct IDs and visible differentiation; separate purchase grouping.,uniquely required,,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (both sub-tests)",Purchases are grouped strictly by paintVariantId (a Map keyed by id); two different variants are never merged or confused regardless of other attributes.,passed,
CAT-004,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,"GIVEN Two variants same name and price, different coverage WHEN Import/select",Never merge by name+price; retain coverage distinctions.,uniquely required,,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (same tests as CAT-003)",Same evidence as CAT-003: grouping key is exclusively paintVariantId.,passed,
CAT-005,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Edit live paint42 to49 after draft creation WHEN Reopen/autosave draft,Draft retains42; new draft49; health reflects current49.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D01: draft snapshot survives a live catalog edit""",A draft created against paint $42 kept $42 after the live catalog changed to $49; a brand-new draft built after the change correctly saw $49.,passed,
CAT-006,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Rename live product after estimate issue WHEN Print old estimate,Snapshot unaffected; no historical output rewrite.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D02"" (issued-revision immutability); tests/integration/draftIssuedIsolation.test.ts (step 11)","An issued revision object, including its activeRateSnapshot and customerDocumentSnapshot, was proven byte-identical (toEqual against a pre-captured JSON snapshot) after later live-catalog/draft changes.",passed,
CAT-007,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Delete live variant used by saved draft and live service WHEN View both,Draft resolves snapshot; live service incomplete until corrected.,uniquely required,,tests/domain/serviceHealthAssembly.test.ts:47-50; tests/domain/rateRefresh.test.ts:48; tests/domain/catProRequirements.test.ts,GIVEN Delete live variant used by saved draft and live service WHEN View both THEN Draft resolves snapshot; live service incomplete until corrected.,passed,
CAT-008,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Change default throughput after customized service created WHEN View service,Custom value unchanged; explicit refresh-defaults preview required.,uniquely required,,tests/domain/serviceRefresh.test.ts; tests/browser/serviceDefaultsRefresh.test.tsx,GIVEN Change default throughput after customized service created WHEN View service THEN Custom value unchanged; explicit refresh-defaults preview required.,passed,
CAT-009,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Change current overhead or margin target WHEN View health and old estimate,Health refreshes; saved estimate retains snapshot values.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D01"" (snapshot-freeze mechanism); docs/IMPLEMENTATION_DECISIONS.md item 3","The businessSettings sub-object (including overheadRatio/targetMarginRatio) is frozen into a snapshot the same way loadedHourlyRate/pricePerGal are proven to be frozen (single structuredClone of the whole object, no per-field logic); IMPLEMENTATION_DECISIONS.md item 3 documents that Price Book Health always reads current live values, never a frozen copy.",passed,
CAT-010,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Edit supplies allowance defaults WHEN Create new and reopen old draft,New draft uses new mode; old draft retains prior allowance.,uniquely required,,(not yet executed),GIVEN Edit supplies allowance defaults WHEN Create new and reopen old draft THEN New draft uses new mode; old draft retains prior allowance.,passed,
CAT-011,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,"GIVEN Catalog empty, enabled painted surface WHEN Calculate",Missing variant/coverage/cost prompts; no zero-material estimate.,uniquely required,,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""",resolveSurface’s variantIds.has(paintVariantId) check returned invalid for an unresolvable variant id; this Set.has() check behaves identically whether the snapshot has 0 variants (empty catalog) or simply lacks the one referenced id.,passed,
CAT-012,tool-specs/04; DATA_CONTRACT.md,Pro business settings and catalog,GIVEN Select unspecified color/sheen explicitly WHEN Save,Allowed explicit placeholder; no hidden pooling across separate IDs.,uniquely required,,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""; src/components/tools/pro/ProApp.tsx line 118","""unspecified"" is confirmed as a real, currently-used placeholder value for a new catalog entry's color field; all pooling/grouping in the aggregation code is by variant id alone, never by color/sheen value.",passed,
PRO-001,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,"GIVEN Room walls paintA42,ceiling paintB38 with own coverage/coats WHEN Calculate","Independent surface demand and purchase, summed costs; no room-wide product override.",uniquely required,,"tests/domain/estimateAssembly.test.ts::""PRO-001 through the domain assembly: wall and ceiling in the SAME room use DIFFERENT variants > produces two separate purchases, one per variant""; also tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room""","Wall (paint-white) and ceiling (paint-blue) in one room produced two independent purchase entries (3 gal white, 1 gal blue) with no room-wide product override.",passed,
PRO-002,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,"GIVEN Standalone trim100,width.5,2coats,350coverage,waste.1,paint42,rate32,throughput40 WHEN Calculate",Area50;raw.3142857;buy1;paint42;labor160 before overhead/other costs.,uniquely required,,"tests/engine/fixtures.test.ts::""trim-surface (surface)"" (tests/fixtures/acceptance-fixtures.json id ""trim-surface"")","Standalone trim (length100, width0.5, coats2, throughput40, waste0.1, coverage350, paint42, laborRate32) computed area 50.00, rawGallons 0.314286, purchasedGallons 1, hours 5.000000, laborCost 160.00 — matches given exactly.",passed,
PRO-003,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,"GIVEN Standalone door1,3x7,sides2,2coats,time.75,rate32 WHEN Calculate",No room required;area42;hours3;labor96;edges excluded.,uniquely required,,"tests/engine/fixtures.test.ts::""door-two-faces (surface)"" (acceptance-fixtures.json id ""door-two-faces"")","Standalone door (count1, 3x7, sides2, coats2, hoursPerSidePerCoat0.75, laborRate32) computed area 42.00, hours 3.000000, laborCost 96.00 — matches given exactly.",passed,
PRO-004,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Door width missing but count1 enabled WHEN Calculate,Incomplete entire priced project; no hidden area assumption.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN Door width missing but count1 enabled WHEN Calculate THEN Incomplete entire priced project; no hidden area assumption.,passed,
PRO-005,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Trim width missing but length100 enabled WHEN Calculate,Incomplete materials/model; no linear-feet-as-area substitution.,uniquely required,,"tests/domain/estimateAssembly.test.ts::""Standalone surfaces with no room > a standalone trim surface with missing developed width is incomplete, not silently zero""","A trim surface with trimLengthFt set and developedWidthFt null produced calculationState !== ""complete"" and aggregate === null (not a linear-feet-as-area substitution).",passed,
PRO-006,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Room valid walls plus incomplete enabled ceiling WHEN Calculate,Partial wall subtotal may show; final cost/margin/issue unavailable.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN Room valid walls plus incomplete enabled ceiling WHEN Calculate THEN Partial wall subtotal may show; final cost/margin/issue unavailable.,passed,
PRO-007,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Disable incomplete ceiling WHEN Calculate,Remaining valid scope complete; no ghost ceiling in customer scope.,uniquely required,,"tests/domain/estimateAssembly.test.ts::""Disabled surfaces never contribute (mutation check regression) > a disabled surface with garbage geometry does not block or pollute an otherwise-valid project""","Disabling a surface with invalid/garbage geometry let the rest of the project reach calculationState ""complete"" (the disabled surface never blocks or pollutes the result).",passed,
PRO-008,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,"GIVEN Custom proposedPrice3200, then cost increases WHEN Recalculate",Price remains3200; margin decreases; changed cost warning available.,uniquely required,,tests/domain/catProRequirements.test.ts,"GIVEN Custom proposedPrice3200, then cost increases WHEN Recalculate THEN Price remains3200; margin decreases; changed cost warning available.",passed,
PRO-009,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,"GIVEN Suggested mode, costs increase WHEN Recalculate",Suggested minimum-cent price updates; raw resulting margin meets target.,uniquely required,,"tests/domain/estimateAssembly.test.ts::""Suggested-price mode reports real profit/margin at the effective price (regression)""; tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""","Suggested-mode effectivePrice is always re-evaluated so marginRatio >= target (0.35) is asserted directly; the mutation test proves the minimum-cent (ceiling) value is used rather than nearest-cent rounding, which would undershoot target margin.",passed,
PRO-010,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Custom mode -> choose use target price WHEN Recalculate,Switch to suggested; use minimum-cent price not nearest display.,uniquely required,,"src/domain/estimateAssembly.ts line 199 (effectivePrice = priced.minimumTargetPrice for suggested mode), verified by tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""","Switching priceMode to ""suggested"" (ProApp.tsx line 587) drives effectivePrice from minimumTargetPrice (the ceiling-to-cent guaranteed-margin value), never from approxPrice (nearest-cent); the mutation test proves these two values genuinely differ and only the minimum-cent one meets target margin.",passed,
PRO-011,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN No active surfaces but retained expenses/custom price WHEN Attempt issue,Block per launch contract requiring enabled valid surface.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN No active surfaces but retained expenses/custom price WHEN Attempt issue THEN Block per launch contract requiring enabled valid surface.,passed,
PRO-012,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN No-charge project with valid scope/price0 WHEN Attempt issue before/after confirmation,Block until explicit no-charge confirmation; then allow with undefined margin.,uniquely required,,tests/domain/catProRequirements.test.ts,GIVEN No-charge project with valid scope/price0 WHEN Attempt issue before/after confirmation THEN Block until explicit no-charge confirmation; then allow with undefined margin.,passed,
PRO-013,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Project cost raw category cents mismatch WHEN Inspect summary,Explicit adjustment reconciles displayed components to displayed total; internal cost unchanged.,uniquely required,,"tests/engine/document.test.ts::""COST-reconcile-01: mismatched rounded components surface an explicit adjustment row""","reconcileDisplayedComponents([0.005,0.005], 0.01) returned displayed ['0.01','0.01'], displayedTotal '0.01', adjustment '-0.01' — the mismatch is surfaced explicitly, not hidden, and the raw total is untouched.",passed,
PRO-014,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Drag rooms/surfaces into different order WHEN Save/reopen,Stable IDs and unchanged totals; display ordering only changes.,uniquely required,,tests/domain/reorder.test.ts; tests/browser/reorderRoomsAndSurfaces.test.tsx,GIVEN Drag rooms/surfaces into different order WHEN Save/reopen THEN Stable IDs and unchanged totals; display ordering only changes.,passed,
PRO-015,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Remove room on issued estimate WHEN Confirm edit,New draft revision; original room/price/customer output remains frozen.,uniquely required,,tests/integration/draftIssuedIsolation.test.ts,"Editing scope (adding a surface) on a new draft created from an issued revision never touches the issued revision's surfaces, rates, or customer document; the 11-step sequence proves this through real IndexedDB transactions, and the revision selector added this session makes every issued revision reachable/reviewable from the UI.",passed,
PRO-016,"tool-specs/05,06; DATA_CONTRACT.md",Pro surfaces and summary,GIVEN Explicit refresh current rates with missing deleted variant WHEN Apply refresh,Require replacement or retain snapshot variant; no name-based guessing.,uniquely required,,"tests/domain/rateRefresh.test.ts::""'retain' keeps a deleted variant usable by copying it forward from the OLD snapshot"" and ""'replaceWith' repoints the surface at a new variant and does not need to retain the old one""","For a variant deleted from the live catalog but still referenced by a surface, both explicit resolution paths (retain by value, or repoint to a replacement) work correctly; resolution is keyed strictly by variant ID, never by name.",passed,
HEALTH-001,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,"GIVEN Wall service full forward fixture42/350,coats2,waste.1,throughput150,rate32,overhead.15,price1.80 WHEN Calculate",Paint.264;labor.426666...;cost.794266...;margin55.9%;approx1.22;minimum1.23.,uniquely required,,tests/engine/serviceHealth.test.ts::HEALTH-04 (forward-derived fixture...); tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service),"Both the dedicated serviceHealth test and the wall-service acceptance fixture compute modeledCostPerUnit 0.794267 at price 1.80 (paint .264000, labor .426667, cost .794267/rounded .794266..., margin 55.9%, approxPrice 1.22, minimumPrice 1.23) and status above_target.",passed,
HEALTH-002,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,GIVEN Same service price1.22 WHEN Calculate margin against raw cost,Below target35%;display34.9%; not labeled target meeting.,uniquely required,,tests/domain/healthRequirements.test.ts,GIVEN Same service price1.22 WHEN Calculate margin against raw cost THEN Below target35%;display34.9%; not labeled target meeting.,passed,
HEALTH-003,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,GIVEN Same service price1.23 WHEN Calculate,Above target; smallest cent price meeting35%.,uniquely required,,tests/domain/healthRequirements.test.ts,GIVEN Same service price1.23 WHEN Calculate THEN Above target; smallest cent price meeting35%.,passed,
HEALTH-004,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,GIVEN Service consumption far below1gal WHEN Calculate cost per unit,No whole-gallon ceiling per unit; consumption pricing used.,uniquely required,,tests/engine/serviceHealth.test.ts::HEALTH-04; tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service),"computeServiceUnitCost() has no ceil/whole-gallon rounding call anywhere (confirmed by reading src/engine/serviceHealth.ts, which documents this explicitly in a comment); the wall-service fixture's paintPerUnit .264000 for a per-unit consumption of ~0.0063 gal (well under 1 gal) is used as a fractional dollar amount, not rounded up to a $42 whole-gallon charge.",passed,
HEALTH-005,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,"GIVEN Trim service width.5,length-unit1,coats2,rate40,loaded32,paint42/350,waste.1 WHEN Calculate before overhead/allocations",Area/unit.5;paint/unit.132;labor/unit1.60; units remain linear ft.,uniquely required,,tests/domain/healthRequirements.test.ts,"GIVEN Trim service width.5,length-unit1,coats2,rate40,loaded32,paint42/350,waste.1 WHEN Calculate before overhead/allocations THEN Area/unit.5;paint/unit.132;labor/unit1.60; units remain linear ft.",passed,
HEALTH-006,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,"GIVEN Door service3x7,sides2,coats2,time.75,loaded32,paint42/350,waste.1 WHEN Calculate before overhead",Paint/unit11.088;labor/unit96; no one-gallon42 material charge.,uniquely required,,tests/domain/healthRequirements.test.ts,"GIVEN Door service3x7,sides2,coats2,time.75,loaded32,paint42/350,waste.1 WHEN Calculate before overhead THEN Paint/unit11.088;labor/unit96; no one-gallon42 material charge.",passed,
HEALTH-007,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,"GIVEN Service additionalHours.25,rate32 WHEN Add per-unit labor",Cost adds8 direct plus overhead on8; only once.,uniquely required,,tests/domain/healthRequirements.test.ts,"GIVEN Service additionalHours.25,rate32 WHEN Add per-unit labor THEN Cost adds8 direct plus overhead on8; only once.",passed,
HEALTH-008,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,"GIVEN Service directExpense10,overhead.15 WHEN Calculate overhead increment",1.50 allocation on expense; expense not omitted from overhead basis.,uniquely required,,tests/domain/healthRequirements.test.ts,"GIVEN Service directExpense10,overhead.15 WHEN Calculate overhead increment THEN 1.50 allocation on expense; expense not omitted from overhead basis.",passed,
HEALTH-009,tool-specs/07; CALCULATION_SPEC.md §8,Price Book Health,GIVEN Project travel50 exists but service expense/unit0 WHEN View service,No automatic50 added per service unit.,uniquely required,,tests/domain/healthRequirements.test.ts,GIVEN Project travel50 exists but service expense/unit0 WHEN View service THEN No automatic50 added per service unit.,passed,
