case_id,requirement,unique_or_duplicate,executable_test_or_fixture,expected_result_source,execution_status,defect_discovered
INT-003,GIVEN Same walls-only room with labor enabled WHEN Calculate THEN Hours7.506666...;labor240.21;paint168;total408.21.,unique,"tests/engine/fixtures.test.ts::""interior-walls-brief (interior)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
INT-004,GIVEN Labor disabled with stale missing/invalid rate WHEN Calculate paint THEN Material result valid; label Paint materials only; no apparent full-job cost.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-005,"GIVEN Enable labor with rate blank WHEN Calculate THEN Incomplete; request rate, no zero-labor final total.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-006,GIVEN Enable labor with explicit rate0 WHEN Calculate THEN Allow labeled zero-rate scenario with warning; no divisor error.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-007,GIVEN Ceiling disabled with invalid ceiling throughput WHEN Calculate walls THEN Inactive ceiling throughput ignored.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-008,GIVEN Only ceiling enabled with no walls WHEN Calculate THEN 320ft²; no wall deduction/labor; clear ceiling-only scope.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-009,GIVEN Both wall and ceiling disabled WHEN Calculate THEN Incomplete/invalid no active surface; not a complete0 estimate.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-010,GIVEN Switch quick to detailed mode WHEN Enter one3x6.67 doorway THEN Detailed20.01 supersedes quick counts; no mixed deduction.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-011,GIVEN Disable deductions with retained excessive openings WHEN Calculate THEN Gross wall area used; ignore inactive openings.,unique,tests/engine/geometry.test.ts::GEO-06,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
INT-012,GIVEN Include ceiling with shared paint WHEN Inspect inputs/output THEN Explicit notice both surfaces use same variant; no claim of separate product selection.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-013,GIVEN Fresh defaults WHEN Inspect THEN Ceiling off;labor off;counts0;sample paint45 editable;labeled sample assumptions.,unique,tests/domain/interiorHandoff.test.ts; manual browser verification of InteriorCalculator.tsx defaults,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
INT-014,GIVEN Add prep2hours at32 WHEN Recalculate completed room THEN Labor adds64 exactly once; displayed exclusions still mention overhead/supplies/tax.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
INT-015,GIVEN User seeks multi-room or trim/door painting WHEN Inspect scope/help THEN Single-room limitation explicit; openings not labeled painted doors; no unsupported controls.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-001,GIVEN Fresh real-user setup WHEN Save incomplete settings THEN Labor/paint price not silently populated as real assumptions; priced issue blocked until configured/confirmed.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-002,GIVEN User accepts sample defaults WHEN Issue valid estimate THEN Confirmation recorded; labels do not claim industry-validated production rates.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-003,"GIVEN Two paint variants same name, different colors WHEN Save/select THEN Distinct IDs and visible differentiation; separate purchase grouping.",unique,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (both sub-tests)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-004,"GIVEN Two variants same name and price, different coverage WHEN Import/select THEN Never merge by name+price; retain coverage distinctions.",unique,"tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room"" (same tests as CAT-003)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-005,GIVEN Edit live paint42 to49 after draft creation WHEN Reopen/autosave draft THEN Draft retains42; new draft49; health reflects current49.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D01: draft snapshot survives a live catalog edit""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-006,GIVEN Rename live product after estimate issue WHEN Print old estimate THEN Snapshot unaffected; no historical output rewrite.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D02"" (issued-revision immutability); tests/integration/draftIssuedIsolation.test.ts (step 11)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-007,GIVEN Delete live variant used by saved draft and live service WHEN View both THEN Draft resolves snapshot; live service incomplete until corrected.,unique,"tests/domain/rateRefresh.test.ts::""flags a variant that was deleted from the live catalog but is still referenced by a surface""",CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-008,GIVEN Change default throughput after customized service created WHEN View service THEN Custom value unchanged; explicit refresh-defaults preview required.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-009,GIVEN Change current overhead or margin target WHEN View health and old estimate THEN Health refreshes; saved estimate retains snapshot values.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D01"" (snapshot-freeze mechanism); docs/IMPLEMENTATION_DECISIONS.md item 3",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-010,GIVEN Edit supplies allowance defaults WHEN Create new and reopen old draft THEN New draft uses new mode; old draft retains prior allowance.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
CAT-011,"GIVEN Catalog empty, enabled painted surface WHEN Calculate THEN Missing variant/coverage/cost prompts; no zero-material estimate.",unique,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
CAT-012,GIVEN Select unspecified color/sheen explicitly WHEN Save THEN Allowed explicit placeholder; no hidden pooling across separate IDs.,unique,"tests/domain/estimateAssembly.test.ts::""A surface referencing a variant absent from the draft's OWN snapshot is invalid, not silently substituted""; src/components/tools/pro/ProApp.tsx line 118",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-001,"GIVEN Room walls paintA42,ceiling paintB38 with own coverage/coats WHEN Calculate THEN Independent surface demand and purchase, summed costs; no room-wide product override.",unique,"tests/domain/estimateAssembly.test.ts::""PRO-001 through the domain assembly: wall and ceiling in the SAME room use DIFFERENT variants > produces two separate purchases, one per variant""; also tests/engine/estimate.test.ts::""PRO-001: independent wall vs ceiling paint variant in the same room""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-002,"GIVEN Standalone trim100,width.5,2coats,350coverage,waste.1,paint42,rate32,throughput40 WHEN Calculate THEN Area50;raw.3142857;buy1;paint42;labor160 before overhead/other costs.",unique,"tests/engine/fixtures.test.ts::""trim-surface (surface)"" (tests/fixtures/acceptance-fixtures.json id ""trim-surface"")",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-003,"GIVEN Standalone door1,3x7,sides2,2coats,time.75,rate32 WHEN Calculate THEN No room required;area42;hours3;labor96;edges excluded.",unique,"tests/engine/fixtures.test.ts::""door-two-faces (surface)"" (acceptance-fixtures.json id ""door-two-faces"")",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-004,GIVEN Door width missing but count1 enabled WHEN Calculate THEN Incomplete entire priced project; no hidden area assumption.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-005,GIVEN Trim width missing but length100 enabled WHEN Calculate THEN Incomplete materials/model; no linear-feet-as-area substitution.,unique,"tests/domain/estimateAssembly.test.ts::""Standalone surfaces with no room > a standalone trim surface with missing developed width is incomplete, not silently zero""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-006,GIVEN Room valid walls plus incomplete enabled ceiling WHEN Calculate THEN Partial wall subtotal may show; final cost/margin/issue unavailable.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-007,GIVEN Disable incomplete ceiling WHEN Calculate THEN Remaining valid scope complete; no ghost ceiling in customer scope.,unique,"tests/domain/estimateAssembly.test.ts::""Disabled surfaces never contribute (mutation check regression) > a disabled surface with garbage geometry does not block or pollute an otherwise-valid project""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-008,"GIVEN Custom proposedPrice3200, then cost increases WHEN Recalculate THEN Price remains3200; margin decreases; changed cost warning available.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-009,"GIVEN Suggested mode, costs increase WHEN Recalculate THEN Suggested minimum-cent price updates; raw resulting margin meets target.",unique,"tests/domain/estimateAssembly.test.ts::""Suggested-price mode reports real profit/margin at the effective price (regression)""; tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-010,GIVEN Custom mode -> choose use target price WHEN Recalculate THEN Switch to suggested; use minimum-cent price not nearest display.,unique,"src/domain/estimateAssembly.ts line 199 (effectivePrice = priced.minimumTargetPrice for suggested mode), verified by tests/mutation/mutation.test.ts::""MUTATION: round target price nearest instead of upward""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-011,GIVEN No active surfaces but retained expenses/custom price WHEN Attempt issue THEN Block per launch contract requiring enabled valid surface.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-012,GIVEN No-charge project with valid scope/price0 WHEN Attempt issue before/after confirmation THEN Block until explicit no-charge confirmation; then allow with undefined margin.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-013,GIVEN Project cost raw category cents mismatch WHEN Inspect summary THEN Explicit adjustment reconciles displayed components to displayed total; internal cost unchanged.,unique,"tests/engine/document.test.ts::""COST-reconcile-01: mismatched rounded components surface an explicit adjustment row""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-014,GIVEN Drag rooms/surfaces into different order WHEN Save/reopen THEN Stable IDs and unchanged totals; display ordering only changes.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
PRO-015,GIVEN Remove room on issued estimate WHEN Confirm edit THEN New draft revision; original room/price/customer output remains frozen.,unique,tests/integration/draftIssuedIsolation.test.ts,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
PRO-016,GIVEN Explicit refresh current rates with missing deleted variant WHEN Apply refresh THEN Require replacement or retain snapshot variant; no name-based guessing.,unique,"tests/domain/rateRefresh.test.ts::""'retain' keeps a deleted variant usable by copying it forward from the OLD snapshot"" and ""'replaceWith' repoints the surface at a new variant and does not need to retain the old one""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-001,"GIVEN Wall service full forward fixture42/350,coats2,waste.1,throughput150,rate32,overhead.15,price1.80 WHEN Calculate THEN Paint.264;labor.426666...;cost.794266...;margin55.9%;approx1.22;minimum1.23.",unique,tests/engine/serviceHealth.test.ts::HEALTH-04 (forward-derived fixture...); tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-002,GIVEN Same service price1.22 WHEN Calculate margin against raw cost THEN Below target35%;display34.9%; not labeled target meeting.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-003,GIVEN Same service price1.23 WHEN Calculate THEN Above target; smallest cent price meeting35%.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-004,GIVEN Service consumption far below1gal WHEN Calculate cost per unit THEN No whole-gallon ceiling per unit; consumption pricing used.,unique,tests/engine/serviceHealth.test.ts::HEALTH-04; tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-005,"GIVEN Trim service width.5,length-unit1,coats2,rate40,loaded32,paint42/350,waste.1 WHEN Calculate before overhead/allocations THEN Area/unit.5;paint/unit.132;labor/unit1.60; units remain linear ft.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-006,"GIVEN Door service3x7,sides2,coats2,time.75,loaded32,paint42/350,waste.1 WHEN Calculate before overhead THEN Paint/unit11.088;labor/unit96; no one-gallon42 material charge.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-007,"GIVEN Service additionalHours.25,rate32 WHEN Add per-unit labor THEN Cost adds8 direct plus overhead on8; only once.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-008,"GIVEN Service directExpense10,overhead.15 WHEN Calculate overhead increment THEN 1.50 allocation on expense; expense not omitted from overhead basis.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-009,GIVEN Project travel50 exists but service expense/unit0 WHEN View service THEN No automatic50 added per service unit.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-010,GIVEN Service currentPrice null WHEN Calculate THEN unpriced; cost breakdown may display; no false below-target status.,unique,tests/engine/serviceHealth.test.ts::HEALTH-01,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-011,GIVEN Service currentPrice0 WHEN Calculate THEN zero_price with loss amount and null margin; not unpriced.,unique,tests/engine/fixtures.test.ts::NUM fixtures... > no-charge (price); src/engine/serviceHealth.ts::evaluateServiceHealth,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-012,GIVEN Service sellingPrice below modeled cost WHEN Calculate THEN Negative margin and profit shown; below_cost takes precedence.,unique,tests/engine/serviceHealth.test.ts::HEALTH-03,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-013,GIVEN Coverage missing or selected variant deleted WHEN Calculate THEN Incomplete row; no flattering zero modeled cost.,unique,tests/engine/serviceHealth.test.ts::HEALTH-02 (V11),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
HEALTH-014,"GIVEN Target changes .35 to.60 WHEN Re-evaluate same wall service THEN Cost unchanged, status changes to below_target at current price1.80.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-015,GIVEN Live paint price changes42 to49 WHEN Re-evaluate THEN Consumption cost increases; margin decreases; issued project unchanged.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-016,"GIVEN User expands row WHEN Inspect THEN Product/color,coverage,coats,waste,geometry,labor,overhead,allocations visible.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
HEALTH-017,GIVEN Homepage illustrative table remains42.2% wall WHEN Compare live fixture55.9% THEN No forced matching; marketing explicitly sample-only and live result remains correct.,unique,src/components/PriceBookHealth.astro (marketing table); tests/engine/fixtures.test.ts::NUM fixtures... > wall-service (service); tests/engine/serviceHealth.test.ts::HEALTH-04,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
DOC-001,"GIVEN Issued estimate with all internal cost fields WHEN Build customer DTO/PDF THEN Only allow-list fields passed; no loaded rates,costs,profit,margin,actuals or license data.",unique,tests/domain/lifecycle.test.ts::DOC-P01: customer document allow-list > never exposes internal cost/margin fields even if present on the source revision,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
DOC-002,GIVEN Add new secret/internal field to source estimate WHEN Generate document THEN Field absent by default; no reliance on a growing block-list.,unique,tests/domain/lifecycle.test.ts::DOC-P01: customer document allow-list > a hand-assembled object with a leaked private field is caught by the allow-list guard,CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
DOC-003,GIVEN Issued price1000 WHEN Render scope with multiple descriptions THEN One exact project selling total1000.00; no invented distribution across descriptions.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-004,GIVEN Unpriced/incomplete draft WHEN Print scope preview THEN DRAFT and PRICE PENDING; never0.00 as assumed selling price.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-005,GIVEN Confirmed no-charge issued estimate WHEN Print THEN Explicit no-charge/zero price; not price pending.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-006,GIVEN Pro priced document WHEN Inspect total and notes THEN Pre-tax notice present; no automatic sales tax added.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-007,"GIVEN Missing optional logo/business address/customer name WHEN Render THEN No broken icons,undefined/null strings or fabricated identity.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-008,"GIVEN Long multi-room scope over several pages WHEN Print/PDF THEN Scope preserved,headers where appropriate,no clipped or overlapping totals; all pages inspectable.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-009,GIVEN Name or notes contains script/HTML-looking text WHEN Render THEN Literal safe text; no script execution or injected markup.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-010,GIVEN Logo script-capable payload or >1MiB WHEN Import/render THEN Reject unsafe/oversized asset; source state intact.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-011,GIVEN Issued snapshot created under earlier engine WHEN Print after engine upgrade THEN Frozen customer content/total unchanged; no automatic recalculation.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
DOC-012,GIVEN Customer preview and internal screen open WHEN Print customer document THEN Internal panels/buttons omitted; printable container selected correctly.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-001,GIVEN No actual categories confirmed WHEN Open review THEN In progress; no final cost/profit/margin/variance; missing indicators.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-002,"GIVEN Materials700 confirmed, others null WHEN Calculate THEN Recorded cost700 only; no final profit/margin or total variance.",unique,"tests/engine/actuals.test.ts::""ACT-01 (V10): confirming materials alone leaves the review in_progress with no final profit/margin""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
ACT-003,"GIVEN Materials amount0 confirmed WHEN Calculate progress THEN Zero counts as supplied, distinct from missing.",unique,"tests/engine/actuals.test.ts::""ACT-02: explicit zero in every category is valid and finalizes"" + ""ACT-03: confirmed=true but amount=null does not count as a completed category""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
ACT-004,GIVEN All four amounts supplied but one unconfirmed WHEN Finalize THEN Block until every category confirmed.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-005,"GIVEN 700materials,1400labor,100expenses,285overhead,baseline3200/cost2185 WHEN Finalize THEN Actual2485;profit715;margin22.3%;variance+300.",unique,"tests/engine/fixtures.test.ts::""actual-final (actual)"" (acceptance-fixtures.json id ""actual-final"")",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
ACT-006,"GIVEN 1000materials,2000labor,200expenses,300overhead,baseline3200/cost2185 WHEN Finalize THEN Actual3500;profit-300;margin-9.4%;variance+1315; loss retained.",unique,"tests/engine/fixtures.test.ts::""actual-final-loss (actual)""; tests/engine/actuals.test.ts::""ACT-04 (loss, v2.1 regression)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
ACT-007,"GIVEN Actual100,baseline price0 WHEN Finalize valid no-charge baseline THEN Profit-100;margin=null; no divide-by-zero; not unpriced.",unique,"tests/engine/fixtures.test.ts::""actual-zero-price (actual)""; tests/engine/actuals.test.ts::""ACT-05 (zero baseline price, v2.1 regression)""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
ACT-008,GIVEN Baseline proposedPrice missing WHEN Select/finalize THEN Invalid issued baseline; do not coerce to0.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-009,GIVEN Baseline overhead285 defaults into review WHEN Inspect before confirmation THEN Labeled estimated/baseline allocation; not measured actual; must confirm.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-010,GIVEN Switch baseline overhead285 to actualFlat300 WHEN Calculate THEN Use300 only; no585 addition.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-011,GIVEN Switch actual labor direct100 to hours2*rate60 WHEN Calculate THEN Labor120 only; no stale100 accumulation.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-012,"GIVEN Final actual amount edited700 to750 WHEN Recompute THEN Replace prior amount; cost changes50, not700+750.",unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-013,GIVEN Record/save actuals against issued revision WHEN Compare baseline before/after THEN Original estimated fields and printed snapshot unchanged.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-014,GIVEN New issued revision created later WHEN Open old actual review THEN Same baseline ID until explicit rebase action; no automatic revenue substitution.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-015,GIVEN Negative actual expense entered WHEN Validate THEN Invalid; no silent zero/clamp and no finalization.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
ACT-016,GIVEN User asks about receipts/change orders WHEN Inspect labels THEN Profit is against original pre-tax quote; not cash received or actual revenue.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
LIFE-001,"GIVEN Draft with rates42 WHEN Change catalog49,autosave,reload THEN Draft42;no silent refresh from live settings.",unique,"tests/domain/lifecycle.test.ts::""LIFE-D01: draft snapshot survives a live catalog edit""; tests/integration/draftIssuedIsolation.test.ts (steps 1-6)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-002,GIVEN Draft refresh preview canceled WHEN Reopen THEN Original snapshot/output preserved.,unique,"tests/integration/draftIssuedIsolation.test.ts (step 7); tests/domain/rateRefresh.test.ts::""applyRateRefresh > does nothing until applied — preview alone never mutates the draft""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-003,GIVEN Draft refresh confirmed WHEN Save/reopen THEN New snapshot applied;pre-refresh recovery available; custom price stays custom.,unique,tests/integration/draftIssuedIsolation.test.ts (step 8); tests/domain/rateRefresh.test.ts (retain/replaceWith/custom-price tests),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-004,GIVEN Issued revision edited WHEN Save draft THEN Original issued revision immutable; draft has fresh revision ID.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D02: issuing freezes a revision; editing after issue creates a NEW draft, original unchanged""; tests/integration/draftIssuedIsolation.test.ts (steps 9-11)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-005,GIVEN New draft exists but not issued WHEN Inspect previous issued revision THEN Still issued baseline; not prematurely superseded.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D02 > creating a draft from an issued revision does NOT itself supersede the issued one; only a new issue does""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-006,GIVEN Issue new revision explicitly WHEN Inspect history THEN Prior marked superseded while original financial payload preserved; new active issued revision.,unique,"tests/domain/lifecycle.test.ts::""LIFE-D02"" (second test) exercises supersede() directly",CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
LIFE-007,"GIVEN Duplicate project WHEN Edit nested room/catalog snapshot THEN Original unchanged; new IDs,correct references,no actuals/issued document; number cleared.",unique,"tests/domain/lifecycle.test.ts::""LIFE-D07: duplicating a project gets fresh IDs and drops issued/actual state""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-008,"GIVEN Reload after successful autosave WHEN Open project THEN Last committed draft restored,including snapshot and price mode.",unique,"tests/integration/draftIssuedIsolation.test.ts (steps 2, 4-5), run for both priceMode=suggested and priceMode=custom",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-009,"GIVEN Storage write/quota failure WHEN Save THEN Previous committed data intact; UI says save failed,never saved.",unique,"tests/storage/db.test.ts::""D-storage-02 (BACK-D12)"" and ""D-storage-03""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-010,GIVEN Engine version upgrade WHEN Open old issued document THEN Historical financial output unchanged; recalc only into new draft revision.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
LIFE-011,GIVEN Room renamed/reordered then reload WHEN Inspect references THEN Same surface/room IDs and correct owning relationships.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
LIFE-012,GIVEN Two tabs concurrently edit same project WHEN Save from stale tab THEN Proposed hardening gate: no silent overwrite; conflict detection/reload/explicit overwrite policy required before enabling multi-tab editing.,unique,"tests/storage/versionConflict.test.ts (all four tests, especially ""a stale write... is rejected with a ConflictError, and the stored record is untouched"" and ""a ConflictError carries the current stored record so the caller can offer reload or save-as-copy"")",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
LIFE-013,GIVEN Interrupted issue transaction WHEN Restart app THEN Either prior state or complete issued revision; no half-issued record.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
LIFE-014,GIVEN Delete project with actual/history WHEN Confirm deletion THEN Proposed hardening gate: clear destructive confirmation and atomic deletion of owned records only; other projects unaffected.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
BACK-001,"GIVEN Projects with drafts,issued revisions,actuals,deleted-live snapshot variants WHEN Export then restore empty store THEN All business data/links/printed snapshots preserved; no live catalog dependency.",unique,"tests/integration/backupRestoreStorage.test.ts::""Restore into an empty store, through real IndexedDB transactions"" > ""a validated backup restored into a fresh (empty) store preserves the complete business graph""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-002,GIVEN Valid backup contains paid token in current runtime only WHEN Export THEN Token/payment secrets/analytics IDs absent from envelope.,unique,"tests/integration/backupRestoreStorage.test.ts::""Backup export completeness and secret exclusion"" > ""exported data contains no payment/entitlement fields — there are none in the entity model to begin with""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-003,GIVEN Identical backup restored twice WHEN Restore/merge THEN First adds; second skips identical IDs; no duplicates.,unique,"tests/domain/backup.test.ts::""BACK-D09"" > ""D09 repeated identical restore -> zero duplicates on a second run"" ; tests/integration/backupRestoreStorage.test.ts > ""restoring the identical backup a second time does not duplicate records""",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-004,"GIVEN Local project changed after export, same incoming ID WHEN Restore THEN Conflict preview;default keep-local; no timestamp-wins overwrite.",unique,tests/integration/backupRestoreStorage.test.ts (Item 5 describe block); tests/domain/backup.test.ts (BACK-D05/D06),CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-005,GIVEN Conflict choose replace-imported WHEN Commit THEN Explicit selected imported project graph replaces atomically; other projects unchanged.,unique,"tests/integration/backupRestoreStorage.test.ts (""replaceImported"" test)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-006,GIVEN Conflict choose keep-both WHEN Commit THEN New project graph IDs remapped; both preserved; actual baseline links resolve correctly.,unique,"tests/domain/backup.test.ts (BACK-D10 ""remaps room and surface IDs"" test); tests/integration/backupRestoreStorage.test.ts (""keep both"" test)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-007,"GIVEN Import as copies WHEN Commit THEN Fresh IDs for graph,including revisions/surfaces/actual links; snapshots self-contained.",unique,"tests/domain/backup.test.ts (BACK-D10 ""remaps room and surface IDs too, and rewrites their cross-references"" test)",CALCULATION_SPEC.md / DECISIONS.md (see area),passed,
BACK-008,GIVEN Repeat same exportId/sourceProjectId as copies WHEN Import THEN Already-imported skip unless explicitly request another copy.,unique,(not yet executed),CALCULATION_SPEC.md / DECISIONS.md (see area),not_run,
